epoch,train_loss,val_loss,lr,seconds
1,1.266527,1.212385,1.500e-04,21.6
1,1.266527,1.212385,1.500e-04,21.5
1,1.149743,1.055017,1.500e-04,66.5
1,1.149743,1.055017,1.500e-04,68.4
1,1.266527,1.212385,1.500e-04,53.9
1,1.149743,1.055017,1.500e-04,68.3
1,0.644820,0.499107,1.500e-04,503.1
2,0.473302,0.489933,1.490e-04,491.5
3,0.444209,0.415418,1.460e-04,509.2
4,0.362101,0.355307,1.411e-04,514.9
5,0.317630,0.321209,1.343e-04,495.0
6,0.293820,0.301534,1.260e-04,502.8
7,0.279203,0.289405,1.164e-04,497.1
8,0.267372,0.279540,1.056e-04,494.0
9,0.258469,0.270927,9.398e-05,497.8
10,0.251492,0.263276,8.189e-05,499.1
11,0.245277,0.258575,6.963e-05,498.2
12,0.240517,0.253300,5.753e-05,495.3
13,0.236240,0.250776,4.593e-05,499.6
14,0.232857,0.246536,3.515e-05,500.2
15,0.229646,0.244570,2.547e-05,510.0
16,0.227480,0.241854,1.716e-05,503.2
17,0.225781,0.240420,1.045e-05,502.1
18,0.224476,0.239461,5.525e-06,508.3
19,0.223649,0.238765,2.514e-06,500.0
20,0.223384,0.238508,1.500e-06,501.5
